微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
P1Z74ufTZ,【#管晨辰称接受不了吴柳芳用体操擦边#】#管晨辰称怼吴柳芳与机构无关#近日，体操世界冠军吴柳芳在其自媒体发布多条性感热舞视频，体操奥运冠军管晨辰在吴柳芳社交账号下留言：前辈姐姐，擦边就擦边，但不要给体操扣屎盆子。吴柳芳则回怼，认为管晨辰是吃不到葡萄说葡萄酸。此事引发舆论关注。对此，管晨辰表示：我留言怼吴柳芳，与任何人和机构无关，是我个人行为，就是看不惯她的行为。我关注她的号有一段时间了，她之前在别的社交平台播，被封了，才来现在的平台。我接受不了用体操“擦边”。（上游新闻） ,,无,无,无,2024-11-25 22:55,iPhone客户端,2,2,1
P1XQHg7xE,#警方通报王宝强被举报诈骗#【#警方通报王宝强被举报诈骗#】#王宝强被举报诈骗系民事纠纷# 据成都公安：　　2024年11月25日，成都市公安局郫都区分局发布情况通报：　　11月20日，我局接到钱某龙报案，称其受四川某体育文化传播有限公司委托，到公安机关控告王某强及其公司未按承诺向该公司支付报酬，涉嫌诈骗。　　经询问报案人，并对其提供证据逐一审查后，我局认定报案反映的问题系民事纠纷，不属于公安机关管辖范围，已告知报案人通过民事途径解决。 ,,无,无,无,2024-11-25 19:42,无,0,0,0
P1XM21fbi,#前体操冠军擦边争议#【#起底吴柳芳签约MCN公司#】#吴柳芳签约MCN曾因拍视频破坏百年樱花树# 11月24日晚，前体操运动员吴柳芳的社交平台账号因违反社区规定被禁止关注，其账号视频作品数也从57个降为7个，许多疑似“擦边”视频已无法查阅。  ,,无,无,无,2024-11-25 19:30,无,3,1,0
P1XLOpvdV,#前体操冠军擦边争议#【#吴柳芳账号多个跳舞视频已删除#】11月24日，抖音平台显示，吴柳芳账号因违反社区规定，被禁止关注，截至发稿，该账号粉丝数已达到259.3万。  ,,无,无,无,2024-11-25 19:30,无,3,1,0
P1XLCefbP,#前体操冠军擦边争议#【#吴柳芳公司曾为拍视频狂摇百年樱花树#】#起底吴柳芳背后MCN公司# 11月24日晚，前体操运动员吴柳芳的社交平台账号因违反社区规定被禁止关注，其账号视频作品数也从57个降为7个，许多疑似“擦边”视频已无法查阅。  ,,无,无,无,2024-11-25 19:29,无,3,1,0
P1XLmgPLG,#前体操冠军擦边争议#【#吴柳芳称家人支持自己做主播#】#管晨辰吴柳芳争论不必与体操运动挂钩# 11月23日，昔日体操队运动员、世界冠军吴柳芳在社交平台上发布多条穿着暴露跳舞视频引关注。  ,,无,无,无,2024-11-25 19:29,无,3,1,0
P1XL9iVcz,#前体操冠军擦边争议##吴柳芳签约童锦程名下MCN#【#吴柳芳账号被禁止关注#】冠军和冠军吵起来了。奥运冠军管晨辰指责退役世界体操冠军吴柳芳“擦边”的那条评论仍在发酵，后者一夜涨粉超百万。11月24日晚，蓝鲸新闻记者发现吴柳芳抖音账号显示“因违反社区规定被禁止关注”。#超2500名退役运动员活跃短视频平台# ,,无,无,无,2024-11-25 19:28,无,2,1,0
P1XL2DSdh,#前体操冠军擦边争议#【#吴柳芳多条性感热舞视频已删除#】#吴柳芳被禁#11月24日，抖音平台显示，吴柳芳账号因违反社区规定，被禁止关注，截至发稿，该账号粉丝数已达到253万。  ,,无,无,无,2024-11-25 19:28,无,3,1,0
P1XKW2lbH,#前体操冠军擦边争议#【#吴柳芳被怒批擦边后穿着严实跳舞#】近日，前中国体操女队队员吴柳芳在社交媒体平台上发布了一系列跳舞视频，被怒批搞擦边后鞠躬道歉，最新发布视频穿着严实跳舞，粉丝从几万涨到超200万。#吴柳芳穿长袖长裤跳舞# 对此，你怎么看？  ,,无,无,无,2024-11-25 19:28,无,3,1,0
P1XKPuXI8,#前体操冠军擦边争议#【#吴柳芳账号被禁止关注#】 #吴柳芳签约童锦程名下mcn#奥运冠军管晨辰指责退役世界体操冠军吴柳芳“擦边”的那条评论仍在发酵，后者一夜涨粉超百万。  ,,无,无,无,2024-11-25 19:28,无,2,1,0
P1XKIooo4,#前体操冠军擦边争议##管晨辰称吴柳芳行为价值导向有问题#【对话当事人丨管晨辰：留言评论吴柳芳“擦边”是个人行为，愿意为冲动道歉】#管晨辰说愿意为冲动道歉#近日，体操世界冠军吴柳芳在其自媒体发布多条性感热舞视频，体操奥运冠军管晨辰在吴柳芳社交账号下留言：前辈姐姐，擦边就擦边，但不要给体操扣屎盆子。 ,,无,无,无,2024-11-25 19:27,无,2,1,0
P1XKBDPMO,#前体操冠军擦边争议#【#管晨辰称接受不了吴柳芳用体操擦边#】#管晨辰称怼吴柳芳与机构无关#近日，体操世界冠军吴柳芳在其自媒体发布多条性感热舞视频，体操奥运冠军管晨辰在吴柳芳社交账号下留言：前辈姐姐，擦边就擦边，但不要给体操扣屎盆子。吴柳芳则回怼，认为管晨辰是吃不到葡萄说葡萄酸。此事引发舆论关注。 ,,无,无,无,2024-11-25 19:27,无,2,2,0
P1XKtmq7L,#前体操冠军擦边争议##管晨辰回应留言评论吴柳芳#【管晨辰：留言评论吴柳芳“擦边”是个人行为，愿意为冲动道歉】#管晨辰就评论吴柳芳事件道歉# 据上游新闻：　近日，体操世界冠军吴柳芳在其自媒体发布多条性感热舞视频，体操奥运冠军管晨辰在吴柳芳社交账号下留言：前辈姐姐，擦边就擦边，但不要给体操扣屎盆子。 ,,无,无,无,2024-11-25 19:27,无,1,1,0
P1XHrpiUS,#货拉拉发布情况说明##货拉拉称将对司机进行资助#【#货拉拉发布情况说明#：未对司机账号封号、扣分，将对司机进行资助】11月25日，@货拉拉APP 发布关于用户与司机搬运费纠纷情况说明：我们关注到社会热议的用户与司机搬运费用纠纷事件。在了解到当事司机刘师傅身患疾病、生活困难的情况后，我们于今日赴医院探望，当面了解其病情与家庭状况后，已从货拉拉司机关怀基金中拨出专门款项，对刘师傅后续治疗予以关怀资助。 #货拉拉回应保时捷事件# ,,无,无,无,2024-11-25 19:19,无,4,1,1
P1X8W1wvh,#潘展乐等11位奥运冠军抵达新疆##奥运冠军在新疆# 今天，@潘展乐 、@o张雨霏o 、@李越宏 、刘宇坤@灞悦饿思斯 、@举重李雯雯 、@曹缘 、@刘洋Lyoung 、@拳击李倩 、@黄张嘉洋-RG 、邓雅文@小文子BMX 、@贾一凡_F 等11位奥运冠军抵达新疆，参加“决胜巴黎·绽放奥运——奥运冠军面对面”巡回宣讲活动。期待奥运健儿的新疆之行！ ,,无,无,无,2024-11-25 17:54,无,2,0,1
P1X8swLHC,#叶嘉莹逝世##席慕蓉说叶嘉莹就是诗魂# 【#叶嘉莹是穿裙子的士#】古典文学研究专家、教育家、诗人叶嘉莹，于2024年11月24日下午逝世，享年100岁。提到中国诗词，有一个人的名字不得不提，她就是叶嘉莹。诗人席慕蓉直言“她就是诗魂”；痖弦称赞叶嘉莹是“ 穿裙子的士”；作家白先勇称“ 叶先生是引导我进入中国诗词殿堂的人”，他回忆在台大读书的时候常常从外文系逃课去听她的课。 ,,无,无,无,2024-11-25 17:53,无,2,0,1
P1X8lrjB8,#叶嘉莹逝世##想听课的学生曾多到叶嘉莹进不了教室#【回顾#百岁教师叶嘉莹的诗词人生#】文学纪录片《掬水月在手》记录了中国古典诗词大师叶嘉莹传奇的人生。她是“诗词的女儿、风雅的先生”，她历经漂泊，却一生致力于古诗词研究传承。2024年11月24日，叶嘉莹去世，享年100岁。送别！#南开大学发布叶嘉莹讣告# ,,无,无,无,2024-11-25 17:53,无,3,0,0
P1X7M144Y,#羽绒骗局曝光#虽然新国标和旧国标都规定“明示量 50%即为合格”，但从“含绒量”到“绒子含量”的改变，无疑对填充羽绒的品质要求更严格，也将羽绒服的标准提高了。#业内称今年鹅绒原料涨价3成##业内称159元买不到高成分真鹅绒#  ,,无,无,无,2024-11-25 17:51,无,2,1,0
P1X7uth1F,#羽绒骗局曝光#【#1个关键词读懂羽绒服新国标#】2022年年初，我国发布了 GB/T14272-2021《羽绒服装》标准（以下简称为“新国标”），并于2022年 4 月 1 日正式实施。其中，新国标最大的亮点是把“含绒量”修改为“绒子含量”。#九江市监局通报羽绒服造假##羽绒被虚假检测报告成本仅一两元#  ,,无,无,无,2024-11-25 17:51,无,2,1,0
P1X7p3G7R,#羽绒骗局曝光#【#伪劣羽绒被竟成公开的秘密#？#不达标假羽绒被流向酒店民宿#】#总台财经调查#记者走访江苏省南通市的家纺市场，一些羽绒被经营者们对自己售卖“假羽绒被”的行为心知肚明。  ,,无,无,无,2024-11-25 17:50,无,3,1,1
P1X7irUWn,#羽绒骗局曝光##你的孩子可能正在穿这些劣质羽绒服# 【“飞丝”冒充羽绒，涉事童装店被罚1.5万】#央视曝光羽绒骗局# 寒冬已至，羽绒服、羽绒被等羽绒制品成为市场上的“香饽饽”，但一部分“假羽绒制品”却在线上、线下市场肆意泛滥。  ,,无,无,无,2024-11-25 17:50,无,2,1,0
P1X7aFj2Y,#羽绒骗局曝光#【央视曝光！#九江羽绒园区童装厂售假羽绒服##童装羽绒服里竟没有真羽绒#】总台《财经调查》记者来到江西省九江市红星羽绒电商创业园，这里聚集了百余家羽绒服装配套企业。  ,,无,无,无,2024-11-25 17:50,无,2,1,0
P1X74yAai,#羽绒骗局曝光#【#羽绒骗局曝光#：儿童羽绒服也造假，检测报告成本一两元钱】据央视新闻报道，寒冬已至，羽绒服、羽绒被等羽绒制品成为市场上的“香饽饽”，但一部分“假羽绒制品”却在线上、线下市场肆意泛滥。  ,,无,无,无,2024-11-25 17:50,无,3,1,0
P1X6YBKCM,#羽绒骗局曝光#【#造假童装羽绒服两月卖出6万多件#】寒冬已至，羽绒服、羽绒被等羽绒制品成为市场上的香饽饽，但一部分“假羽绒制品”却在线上、线下市场肆意泛滥。部分直播间里，出现了一些号称价格亲民且品质优良的羽绒被。#九江市监局通报羽绒服造假#  ,,无,无,无,2024-11-25 17:49,无,3,3,1
P1X6T3mEt,#羽绒骗局曝光#【“羽绒骗局”曝光：儿童羽绒服也造假，检测报告成本一两元钱】#假羽绒服检测报告成本一两元# 寒冬已至，羽绒服、羽绒被等羽绒制品成为市场上的“香饽饽”，但一部分“假羽绒制品”却在线上、线下市场肆意泛滥。  ,,无,无,无,2024-11-25 17:49,无,2,1,0
P1X6L2svi,#羽绒骗局曝光#【#7万件羽绒服查出含绒量为0#】#7万件羽绒服含绒量0企业主管被抓# 近日，浙江湖州织里警方发现，当地一家服装厂以远低于市场的价格“甩卖”儿童羽绒服，疑似造假，警方遂立案调查。  ,,无,无,无,2024-11-25 17:49,无,2,0,0
P1X6D5Wf7,#羽绒骗局曝光#【#央视曝光劣质羽绒制品以丝充绒##你买的羽绒被可能是劣质飞丝被#！】寒冬已至，羽绒服、羽绒被等羽绒制品成为市场上的香饽饽，但一部分“假羽绒制品”却在线上、线下市场肆意泛滥。部分直播间里，出现了一些号称价格亲民且品质优良的羽绒被。  ,,无,无,无,2024-11-25 17:48,无,2,1,0
P1X6v68C6,#羽绒骗局曝光#【#部分劣质羽绒服填充物竟是飞丝#】#央视曝光羽绒制品造假产业链# 商家透露，不只是羽绒被存在以次充好的现象，部分羽绒服里的填充物也未能幸免。  ,,无,无,无,2024-11-25 17:48,无,2,1,0
P1X6nlIYW,#羽绒骗局曝光#【#羽绒服价格为何贵不动了# 】11月下旬，北京温度0—16度，换季拿出来的羽绒服已经待命一个月。而去年同期，北京的温度是-8—1度，很多人都穿上了厚款羽绒服。不止北京，据中国气象局预计，今年冬季（2024年12月至2025年2月），全国大部地区气温较常年同期偏高。  ,,无,无,无,2024-11-25 17:48,无,1,0,0
P1Wwph4Gq,#管晨辰说愿意为冲动道歉##管晨辰称吴柳芳行为价值导向有问题#【对话当事人丨管晨辰：留言评论吴柳芳“擦边”是个人行为，愿意为冲动道歉】近日，体操世界冠军吴柳芳在其自媒体发布多条性感热舞视频，体操奥运冠军管晨辰在吴柳芳社交账号下留言：前辈姐姐，擦边就擦边，但不要给体操扣屎盆子。  ,,无,无,无,2024-11-25 16:19,无,9,1,2
P1WwfwYlG,#管晨辰称接受不了吴柳芳用体操擦边##管晨辰称吴柳芳行为价值导向有问题#【对话当事人丨管晨辰：留言评论吴柳芳“擦边”是个人行为，愿意为冲动道歉】#管晨辰说愿意为冲动道歉#近日，体操世界冠军吴柳芳在其自媒体发布多条性感热舞视频，体操奥运冠军管晨辰在吴柳芳社交账号下留言：前辈姐姐，擦边就擦边，但不要给体操扣屎盆子。 ,,无,无,无,2024-11-25 16:19,无,1,0,1
P1Ww9o2eR,#管晨辰称吴柳芳行为价值导向有问题#【对话当事人丨管晨辰：留言评论吴柳芳“擦边”是个人行为，愿意为冲动道歉】#管晨辰说愿意为冲动道歉#近日，体操世界冠军吴柳芳在其自媒体发布多条性感热舞视频，体操奥运冠军管晨辰在吴柳芳社交账号下留言：前辈姐姐，擦边就擦边，但不要给体操扣屎盆子。  ,,无,无,无,2024-11-25 16:19,无,4,0,1
P1W4LqRdT,#潘展乐捂得严严实实#奥运冠军天团抵达乌鲁木齐，当地气温低至零下八度。在这寒冷的气候下，奥运冠军们的身影格外引人注目。其中，潘展乐将自己捂得严严实实，那模样甚是可爱，与他在赛场上的拼搏形象形成鲜明对比。  ,,无,无,无,2024-11-25 15:11,无,0,0,1
P1UYdCz2R,#货拉拉 保时捷#【#货拉拉司机收到保时捷方2000元补偿#，如何看待货拉拉司机与保时捷方600元运费之争？】据海报新闻，当事货拉拉司机24日在社交平台发布了对此事的回应，并配有自己的验伤单和体检单。  ,,无,无,无,2024-11-25 12:22,无,4,2,0
P1UXXqQ20,#货拉拉 保时捷#【极目锐评丨#如何看待保时捷道歉#：危机公关不能成为“公关危机”】11月23日，一段“上海一货拉拉司机向保时捷工作人员维权”的视频，在社交平台引发关注，该司机称保时捷工作人员拖欠600元运费，还向平台投诉导致自己被封号。#货拉拉称未对司机进行封号等处理#  ,,无,无,无,2024-11-25 12:22,无,3,1,0
P1UXS8WXm,#货拉拉 保时捷#【#看待保时捷运费纠纷应客观公允#】#媒体评保时捷运费纠纷事件# 近日，“上海一货拉拉司机向保时捷工作人员维权”一事引发关注。  ,,无,无,无,2024-11-25 12:21,无,6,1,0
P1UXHjwYd,#货拉拉 保时捷#【 #保时捷合作方称为安抚司机发生推搡#】11月23日，一段“上海一货拉拉司机向保时捷工作人员维权”的视频，在社交平台引发关注，该司机称保时捷工作人员拖欠600元运费，还向平台投诉导致自己被封号，视频中还疑似出现了推搡的画面。11月23日晚，@保时捷 发布声明称该司对引发这一纠纷及其中出现的不当处理表示歉意，并发布了一篇落款为前卫咨询上海有限公司的情况说明。#保时捷公开道歉# ,,无,无,无,2024-11-25 12:21,无,3,1,0
P1UXvD4hj,#货拉拉 保时捷#【#民警手写13页纸劝聋哑人别给骗子钱#】#骗子把货拉拉网约车当成运钞车#近期，诈骗套路又出新花样。诈骗分子通过“线上诈骗+线下取钱+网约车投递”的组合模式进行诈骗，把货拉拉、网约车当成电诈“运钞车”，让不少人中了招。  ,,无,无,无,2024-11-25 12:21,无,3,1,0
P1UXboI0B,#货拉拉 保时捷#该货拉拉司机称保时捷工作人员拒绝支付600元搬运费用，且将自己向货拉拉平台进行投诉，导致自己被封号。#保时捷 货拉拉#  ,,无,无,无,2024-11-25 12:20,无,2,1,0
P1UWXwssm,#货拉拉 保时捷##货拉拉未对司机有任何封号行为#【货拉拉司机因600元搬运费被投诉致封号，保时捷深夜致歉！货拉拉回应封号规则】#货拉拉纠纷事件仍有三大疑问待解# 11月23日，一段“上海一货拉拉司机向保时捷工作人员维权”的视频，在社交平台引发关注，并迅速冲上热搜。  ,,无,无,无,2024-11-25 12:19,无,3,1,0
P1UWRkfom,#货拉拉 保时捷#【#货拉拉司机回应保时捷# 】今晚，货拉拉司机回应与保时捷纠纷：账号虽没有封禁，但被限制接单。自己患有肾病，在孤立无援饥寒交迫下无奈签订调解协议。事件发生后，没人道歉。  ,,无,无,无,2024-11-25 12:19,无,3,1,0
P1UWM7Qy2,#货拉拉 保时捷#一名货拉拉司机也向极目新闻记者确认，视频中曾响起货拉拉平台来新订单的提示音，师傅听到声音后可自行决定是否抢单。#保时捷 货拉拉##保时捷公开道歉#  ,,无,无,无,2024-11-25 12:19,无,2,1,0
P1UWyv0Me,#货拉拉 保时捷#【保时捷拖欠货拉拉司机运费，还投诉导致封号？货拉拉：的确接到投诉，但未对司机封号】#货拉拉称未对司机进行封号等处理#11月23日，一则“货拉拉司机向保时捷维权”的视频在社交平台引发关注，拍摄视频的司机称保时捷工作人员拖欠600元搬运费，还向平台投诉要封号。  ,,无,无,无,2024-11-25 12:18,无,2,1,0
P1UWrbflA,#货拉拉 保时捷##货拉拉司机称身心都造成了伤害#24日晚，当事货拉拉司机刘先生告诉九派新闻，对于前卫咨询上海有限公司发布的声明，有部分内容他并不认可。  ,,无,无,无,2024-11-25 12:18,无,2,1,0
P1UWlfvbS,#货拉拉 保时捷##货拉拉司机发声#【#货拉拉司机称对声明部分内容不认可#】11月23日，网上出现“上海一货拉拉司机向保时捷工作人员维权”的视频。前卫咨询上海有限公司发布声明，解释了产生争议的600元运费，并表示司机所说的向平台投诉，实际是“要求货拉拉平台判定金额”。  ,,无,无,无,2024-11-25 12:18,无,2,1,0
P1Umtpg5O,#寒潮来袭##北京发布寒潮蓝色预警#【新闻多一度丨“雨雪+降温+大风”组团来袭 #本次的寒潮有多强#？】11月23日至27日下半年首场寒潮和大范围雨雪影响我国中东部地区将上演冷暖大逆转，“雨雪+降温+大风”组团来袭。此次寒潮有哪些特点？影响范围有多大？北京会受到哪些影响，有望迎来“初雪”吗？  ,,无,无,无,2024-11-25 10:49,无,2,1,0
P1Umo2XGK,#寒潮来袭#【#寒潮频繁出现是冷冬要来了吗#】#小雪节气为啥总遇上寒潮#本周进入小雪节气。在我国一年之中，寒潮在11月份出现最频繁。  ,,无,无,无,2024-11-25 10:49,无,3,1,0
P1Uma8wVo,#寒潮来袭#【#北京大风雨雪降温强势来袭#】市气象台已于11月24日11时发布寒潮蓝色预警信号，受强冷空气影响，预计25日至27日北京地区将出现寒潮天气。  ,,无,无,无,2024-11-25 10:49,无,2,1,0
P1Um3CgSj,#寒潮来袭#11月25日到27日中东部地区气温也会显著下降。从影响上来看，需要特别关注三点。①气温降幅大，体感变化明显。②受寒潮影响，大风持续时间长。③降雪范围广，需警惕雪灾风险。#北方将迎今冬以来最强降雪天气#  ,,无,无,无,2024-11-25 10:48,无,2,1,0
P1UlKcJp1,#寒潮来袭#【#本轮寒潮天气有3个特点#】#本轮寒潮大风雨雪降温buff叠满# 中央气象台气象分析师胡啸分析，11月24日早，寒潮前锋已经推进到了甘肃、内蒙古西部等地。  ,,无,无,无,2024-11-25 10:47,无,1,0,0
P1UlA9X8J,#货拉拉 保时捷#【#货拉拉司机回应保时捷# 】今晚，货拉拉司机回应与保时捷纠纷：账号虽没有封禁，但被限制接单。自己患有肾病，在孤立无援饥寒交迫下无奈签订调解协议。事件发生后，没人道歉。  ,,无,无,无,2024-11-25 10:47,无,3,1,0
