微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
P1YCnmdXC,#羽绒骗局曝光#天冷了，羽绒服成了香饽饽。但有些逐利的人向孩子下手了，用飞丝替代羽绒，售卖不达标的羽绒服。所以现在买东西一定要小心。尽量买一些有产品溯源，有品牌认证，有大牌保底但也不要谈虎色变，一杆子打翻一船人  ,,无,无,无,2024-11-25 21:39,iPhone 13,0,0,0
P1XFwklxF,#羊毛月言论争议#“羊毛月”因发布一则吐槽年轻人找工作难的视频，引发轩然大波。一句“00后不是整顿职场吗？怎么职场都进不去呢？”让“800万粉丝网红”没了“800万粉丝”。  ,,无,无,无,2024-11-25 19:14,iPhone 13,0,0,0
P1XFj1yAq,#羽绒骗局曝光##冬天如何选一件不踩坑的羽绒服##羽绒骗局曝光# 买羽绒服认识洗水标不踩坑 羽绒服怎么选推荐建议小技巧 鹅绒服的真假辨别避坑避雷指南 新国标羽绒服执行标准GB/ T14272-2021已经把含绒量修改为绒子含量了 凡事不敢标注清楚的都是以次充好想卖高价的货;千万注意了 认准新国标  ,,无,无,无,2024-11-25 19:14,iPhone 13,0,0,1
P1X8fdYFX,#植发#要找靠谱的机构和人，比如我#植发#不仅有效果保障。而且越来越好  原图 ,,https://wx2.sinaimg.cn/large/adf0a8c9gy1hvymsi51v3j20u01400zh.jpg,无,无,2024-11-25 17:52,微博网页版,1,0,1
P1WZ73aWb,#货拉拉保时捷纠纷#维权的大哥情绪有点激动，但是人家主张正常的权益，人家只想要回自己劳动所得，怎么就这么困难？  ,,无,无,无,2024-11-25 17:30,iPhone 13,0,0,0
P1WYMCt0f,#国际消除家暴日#【#别再问她他为什么打你#】#当身边人遭家暴我们该怎么办#每当听到有女性遭受来自伴侣的家暴，我们对施暴者满腔怒火的同时，也会对家暴受害者“恨铁不成钢”：你怎么不敢反抗？怎么不离开这个家？为什么反复原谅？北京市千千律师事务所执行主任吕孝权律师表示：“只有尽快构建起社会系统性资源支持体系，才能让受害人遭受家暴后不会有任何犹豫、坚定维权。”11月25日是联合国“制止暴力侵害妇女行为国际日”，旨在制止一切形式的针对妇女的暴力行为。 ,,无,无,无,2024-11-25 17:29,iPhone 13,0,0,0
P1WYECGjL,#王楚钦夺冠##WTT福冈总决赛2024# 男单冠军之路🏆  #王楚钦# ——3-1帕特里克·弗朗西斯卡(GER)➡️3-1特鲁斯·莫雷加德(SWE)➡️4-1达科·约奇克(SLO)➡️4-0张本智和(JPN)  ,,无,无,无,2024-11-25 17:29,iPhone 13,0,0,0
P1WYxl61l,#羽绒骗局曝光#【#羽绒服价格为何贵不动了# 】11月下旬，北京温度0—16度，换季拿出来的羽绒服已经待命一个月。而去年同期，北京的温度是-8—1度，很多人都穿上了厚款羽绒服。不止北京，据中国气象局预计，今年冬季（2024年12月至2025年2月），全国大部地区气温较常年同期偏高。受“暖冬”影响最大的是羽绒服市场。全国最大的羽绒服批发市场，有着“羽绒服风向标”之称的平湖·中国服装城发布的“平湖·羽绒服指数”显示，10月中旬、下旬和11月上旬，羽绒服批发价格指数三连跌。有消费者发现，无论是线上还是线下，各大商家都在“抢着降价”。 ,,无,无,无,2024-11-25 17:29,iPhone 13,0,0,0
P1WYp2AMC,#羊毛月言论争议#近日，800万粉丝网红博主“羊毛月”因发布一则吐槽年轻人找工作难的视频，引发轩然大波。 #媒体评羊毛月言论争议#    有网友发现，早在去年的万柳书院事件中，该博主就发表过不少争议言论，羊毛月曾称万柳书院业主为“少爷”，并向其自荐当保姆。公开资料显示，羊毛月真名杨悦，是一位自媒体创作者，以“贱贱地快乐生活”作为主页介绍。 你如何看待羊毛月的道歉？ ,,无,无,无,2024-11-25 17:28,iPhone 13,0,0,0
P1WLOzmgD,#货拉拉保时捷纠纷#没有被封号，当事人情绪激动，但也能从视频看出，说的是要封他的号，而且他的号在拍视频的时候应该就是正常的。他很激动，因为被欺负了，生活的压力，不公正的待遇  ,,无,无,无,2024-11-25 16:57,iPhone 13,0,0,0
P1WLrBYsk,#胖东来卫生巾区遭哄抢#【#胖东来卫生巾区遭哄抢#】#多家卫生巾塌房后胖东来卫生巾区爆火# 11月24日报道，此前多家卫生巾品牌“塌房”，胖东来卫生巾区域爆火。“货架被抢空，多为整箱购买”，网友：胖东来不仅是超市更是鉴定机构。  ,,无,无,无,2024-11-25 16:56,iPhone 13,0,0,0
P1WLkavN8,#王楚钦夺冠#【#国乒新老交替阶段遭遇挑战# 光环之下尚存隐忧】WTT福冈总决赛于11月24日结束了全部项目的争夺。王楚钦4比0横扫张本智和，实现了WTT总决赛男单三连冠；王曼昱在德比战中打满7局，4比3战胜队友陈幸同，首夺年终总决赛女单冠军。本届赛事，国乒只在男单、女单中斩获金牌，男双和女双项目则冠军旁落。针对近期比赛成绩起伏，国乒教练组仍需严肃对待问题，及时总结。 ,,无,无,无,2024-11-25 16:56,iPhone 13,0,0,0
P1WLcmO2H,#羊毛月言论争议#【#羊毛月评论区网友实时更新粉丝数#】近日，网红羊毛月发布视频“嘲讽00后找工作”的言论引发争议。11月23日晚间，该博主发布了道歉视频。不少网友涌入羊毛月账号评论区，实时更新粉丝数。  ,,无,无,无,2024-11-25 16:56,iPhone 13,0,0,0
